Index,Area_unit_2013_code,Area_unit_2013_label,Victimisations_calendar_year_2015,Population_mid_point_2015, Rate_per_10000_population , Rate_ratio_NZ_average_rate ,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Territorial_authority_area_2013_code,Territorial_authority_area_2013_label,Region_2013_code,Region_2013_label
101,524112,Mascot,43,4410,98,1.9,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
102,519500,Penrose,42,780,538,10.3,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
103,538101,Tauranga Hospital,42,2020,208,4,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
104,518101,Mt Eden North,42,3670,114,2.2,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
105,522301,Dingwall,42,3980,106,2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
106,523911,Takanini North,42,3980,106,2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
107,513301,Kingdale,42,4080,103,2,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
108,514401,Roberton,42,5890,71,1.4,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
109,576500,Adelaide,41,1100,373,7.1,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
110,524002,Mangere Bridge,41,6460,63,1.2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
111,592200,Merivale,40,2830,141,2.7,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
112,564900,Parkway,40,3270,122,2.3,18,Lower Hutt Zone,Main urban area,46,Lower Hutt City,9,Wellington Region
113,524720,Homai East,40,6870,58,1.1,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
114,500302,Kaitaia East,39,2070,188,3.6,202,Kaitaia,Minor urban area,1,Far North District,1,Northland Region
115,591800,Northcote,39,2630,148,2.8,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
116,571100,Cannons Creek North,39,3350,116,2.2,19,Porirua Zone,Main urban area,44,Porirua City,9,Wellington Region
117,530100,Peachgrove,39,3450,113,2.2,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
118,537601,Greerton,39,4470,87,1.7,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
119,572900,Thorndon-Tinakori Road,39,4520,86,1.6,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
120,527401,Huntly West,38,3120,122,2.3,217,Huntly,Minor urban area,13,Waikato District,3,Waikato Region
121,520000,Te Papapa,38,3730,102,1.9,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
122,519820,Onehunga South East,38,3820,99,1.9,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
123,517500,Kingsland,38,5140,74,1.4,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
124,507900,Westlake,38,5590,68,1.3,2,Northern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
125,500900,Kerikeri,38,7110,53,1,203,Kerikeri,Minor urban area,1,Far North District,1,Northland Region
126,528900,Frankton Junction,37,2000,185,3.5,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
127,595000,Spreydon,37,3790,98,1.9,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
128,546500,Onekawa South,37,4640,80,1.5,12,Napier Zone,Main urban area,31,Napier City,6,Hawke's Bay Region
129,509702,Tuff Crater,37,4790,77,1.5,2,Northern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
130,520601,Tamaki,37,5010,74,1.4,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
131,513302,Fairdene,37,5060,73,1.4,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
132,525101,Leabank,37,5760,64,1.2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
133,528403,Te Rapa,36,360,"1,000",19.1,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
134,517400,Newmarket,36,3740,96,1.8,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
135,520801,Waiheke Island,36,8880,41,0.8,214,Waiheke Island,Minor urban area,76,Auckland,2,Auckland Region
136,590900,Riccarton South,35,610,574,11,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
137,604410,South Dunedin,35,2530,138,2.6,23,Dunedin,Main urban area,71,Dunedin City,14,Otago Region
138,517901,Springleigh,35,3050,115,2.2,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
139,541000,Turangi,35,3220,109,2.1,237,Turangi,Minor urban area,21,Taupo District,3,Waikato Region
140,548831,Te Mata,35,3790,92,1.8,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
141,504600,Dargaville,35,4830,72,1.4,209,Dargaville,Minor urban area,3,Kaipara District,1,Northland Region
142,568302,Naenae North,35,4850,72,1.4,18,Lower Hutt Zone,Main urban area,46,Lower Hutt City,9,Wellington Region
143,524520,Harania West,35,5370,65,1.2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
144,522302,Papatoetoe East,35,6050,58,1.1,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
145,608800,Wanaka,35,7400,47,0.9,293,Wanaka,Minor urban area,70,Queenstown-Lakes District,14,Otago Region
146,583202,Broads,34,1590,214,4.1,21,Nelson,Main urban area,52,Nelson City,17,Nelson Region
147,544702,Outer Kaiti,34,2490,137,2.6,11,Gisborne,Main urban area,28,Gisborne District,5,Gisborne Region
148,542430,Trident,34,3350,101,1.9,104,Whakatane,Secondary urban area,25,Whakatane District,4,Bay of Plenty Region
149,523601,Otara South,34,3830,89,1.7,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
150,584301,Motueka West,34,3890,87,1.7,273,Motueka,Minor urban area,51,Tasman District,16,Tasman Region
151,554020,Hawera South,34,4050,84,1.6,105,Hawera,Secondary urban area,35,South Taranaki District,7,Taranaki Region
152,514000,Freemans Bay,34,4280,79,1.5,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
153,530400,Bader,34,4420,77,1.5,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
154,541730,Tauhara,34,4430,77,1.5,103,Taupo,Secondary urban area,21,Taupo District,3,Waikato Region
155,523602,Ferguson,34,4820,71,1.3,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
156,518500,Three Kings,34,6100,56,1.1,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
157,562401,Palmerston North Hospital,33,2760,120,2.3,16,Palmerston North,Main urban area,40,Palmerston North City,8,Manawatu-Wanganui Region
158,547700,St Leonards,33,3030,109,2.1,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
159,576901,Kilbirnie East,33,3230,102,2,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
160,578800,Masterton East,33,3700,89,1.7,109,Masterton,Secondary urban area,48,Masterton District,9,Wellington Region
161,521802,Fairburn,33,3810,87,1.7,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
162,594700,Addington,33,4040,82,1.6,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
163,524811,Weymouth West,33,4630,71,1.4,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
164,548300,Akina,33,4720,70,1.3,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
165,515002,Point Chevalier East,33,4880,68,1.3,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
166,576400,Newtown East,33,5370,61,1.2,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
167,528200,Ngaruawahia,33,5810,57,1.1,6,Hamilton Zone,Main urban area,13,Waikato District,3,Waikato Region
168,518803,Akarana,33,6360,52,1,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
169,502800,Regent,32,1750,183,3.5,1,Whangarei,Main urban area,2,Whangarei District,1,Northland Region
170,602900,Fernhill,32,1860,172,3.3,23,Dunedin,Main urban area,71,Dunedin City,14,Otago Region
171,590701,Mona Vale,32,2510,127,2.4,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
172,556200,Gonville South,32,3060,105,2,15,Wanganui,Main urban area,37,Wanganui District,8,Manawatu-Wanganui Region
173,538102,Tauranga South,32,4530,71,1.4,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
174,538502,Te Puke East,32,4740,68,1.3,235,Te Puke Community,Minor urban area,22,Western Bay of Plenty District,4,Bay of Plenty Region
175,528501,Nawton,32,4960,65,1.2,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
176,539400,Mangakakahi,31,2570,121,2.3,10,Rotorua,Main urban area,24,Rotorua District,4,Bay of Plenty Region
177,551700,Westown,31,3570,87,1.7,14,New Plymouth,Main urban area,33,New Plymouth District,7,Taranaki Region
178,593100,Aranui,31,4240,73,1.4,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
179,511700,Kelston Central,31,5000,62,1.2,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
180,523721,Clover Park,31,5030,62,1.2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
181,523502,Otara East,31,5150,60,1.2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
182,513220,Sturges North,31,7830,40,0.8,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
183,544400,Gisborne Airport,30,2890,104,2,11,Gisborne,Main urban area,28,Gisborne District,5,Gisborne Region
184,539600,Fordlands,29,1840,158,3,10,Rotorua,Main urban area,24,Rotorua District,4,Bay of Plenty Region
185,537700,Yatton Park,29,2640,110,2.1,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
186,590100,Upper Riccarton,29,3300,88,1.7,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
187,594010,Woolston West,29,3590,81,1.5,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
188,595700,Rawhiti,29,3700,78,1.5,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
189,610800,Gladstone-Avenal,29,3800,76,1.5,24,Invercargill,Main urban area,75,Invercargill City,15,Southland Region
190,594200,Ensors,29,3850,75,1.4,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
191,536516,Palm Beach,29,3870,75,1.4,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
192,528800,Maeroa,29,4020,72,1.4,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
193,595300,Hillmorton,29,4750,61,1.2,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
194,534400,Waihi,29,4980,58,1.1,229,Waihi,Minor urban area,12,Hauraki District,3,Waikato Region
195,517100,Point England,29,5050,57,1.1,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
196,515902,Parnell West,29,5460,53,1,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
197,562500,Roslyn,29,5910,49,0.9,16,Palmerston North,Main urban area,40,Palmerston North City,8,Manawatu-Wanganui Region
198,530500,University,29,6270,46,0.9,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
199,503500,Raumanga East,28,1880,149,2.8,1,Whangarei,Main urban area,2,Whangarei District,1,Northland Region
200,520602,Panmure Basin,28,2970,94,1.8,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
201,591900,Papanui,28,3820,73,1.4,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
202,529402,Chedworth,28,3900,72,1.4,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
203,542440,Allandale-Mokorua,28,4020,70,1.3,104,Whakatane,Secondary urban area,25,Whakatane District,4,Bay of Plenty Region
204,549500,Waipukurau,28,4060,69,1.3,244,Waipukurau,Minor urban area,32,Central Hawke's Bay District,6,Hawke's Bay Region
205,526200,Tuakau,28,4630,60,1.2,101,Pukekohe,Secondary urban area,13,Waikato District,3,Waikato Region
206,522400,Puhinui North,28,4840,58,1.1,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
207,529000,Swarbrick,28,5100,55,1,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
208,562310,Takaro,28,5470,51,1,16,Palmerston North,Main urban area,40,Palmerston North City,8,Manawatu-Wanganui Region
209,516500,Mission Bay,28,5840,48,0.9,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
210,587701,Sockburn,28,6760,41,0.8,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
211,501100,Paihia,27,1900,142,2.7,205,Paihia,Minor urban area,1,Far North District,1,Northland Region
212,590300,Middleton,27,1930,140,2.7,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
213,576301,Newtown West,27,3480,78,1.5,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
214,608500,Alexandra,27,5190,52,1,291,Alexandra,Minor urban area,69,Central Otago District,14,Otago Region
215,536821,Omanu,27,5540,49,0.9,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
216,573300,Mt Cook-Wallace Street,27,5650,48,0.9,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
217,514402,Glenavon,27,7040,38,0.7,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
218,523712,Donegal Park,27,8240,33,0.6,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
219,520301,Mt Wellington Domain,26,1740,149,2.9,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
220,611700,Appleby-Kew,26,1960,133,2.5,24,Invercargill,Main urban area,75,Invercargill City,15,Southland Region
221,532902,Taumarunui Central,26,2310,113,2.2,220,Taumarunui,Minor urban area,36,Ruapehu District,8,Manawatu-Wanganui Region
222,531004,Te Awamutu South,26,3140,83,1.6,8,Te Awamutu Zone,Main urban area,17,Waipa District,3,Waikato Region
223,520303,Mt Wellington North,26,3380,77,1.5,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
224,583900,Isel Park,26,3440,76,1.4,21,Nelson,Main urban area,52,Nelson City,17,Nelson Region
225,535600,Putaruru,26,3970,65,1.3,233,Putaruru,Minor urban area,19,South Waikato District,3,Waikato Region
226,554010,Hawera North,26,4010,65,1.2,105,Hawera,Secondary urban area,35,South Taranaki District,7,Taranaki Region
227,607400,Balclutha,26,4030,65,1.2,290,Balclutha,Minor urban area,72,Clutha District,14,Otago Region
228,514301,Grafton West,26,4190,62,1.2,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
229,548000,Mayfair,26,4470,58,1.1,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
230,533000,Whitianga,26,4650,56,1.1,221,Whitianga,Minor urban area,11,Thames-Coromandel District,3,Waikato Region
231,530300,Naylor,26,4800,54,1,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
232,563000,West End,26,4980,52,1,16,Palmerston North,Main urban area,40,Palmerston North City,8,Manawatu-Wanganui Region
233,517702,Sandringham West,26,5390,48,0.9,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
234,537301,Brookfield,26,5430,48,0.9,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
235,539900,Hillcrest,25,1630,153,2.9,10,Rotorua,Main urban area,24,Rotorua District,4,Bay of Plenty Region
236,525510,Papakura South,25,1850,135,2.6,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
237,540520,Glenholme West,25,2310,108,2.1,10,Rotorua,Main urban area,24,Rotorua District,4,Bay of Plenty Region
238,583300,Grampians,25,2490,100,1.9,21,Nelson,Main urban area,52,Nelson City,17,Nelson Region
239,595800,New Brighton,25,2610,96,1.8,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
